Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
COG3,99,86,35,101,129,41,111,13,40
COG4,102,123,36,96,123,75,113,1,55
COG5,100,74,21,106,124,42,105,12,40
COG6,49,13,24,79,20,121,144,71,69
COG7,115,74,25,107,135,43,104,13,48
COG8,99,79,35,106,127,41,105,10,40
COIL,2,60,95,50,11,95,68,107,73
COL10A1,97,23,44,102,74,62,59,16,5
COL11A1,79,88,69,136,101,36,24,77,26
COL11A2,74,39,113,28,32,4,9,73,136
COL12A1,119,123,35,5,122,77,111,36,55
COL13A1,109,31,83,103,81,60,47,15,2
COL14A1,3,119,17,11,110,87,121,19,90
COL15A1,68,103,125,25,35,4,18,83,137
COL16A1,77,52,80,89,83,34,52,88,14
COL17A1,32,50,80,83,47,52,38,134,132
COL18A1,3,119,19,14,110,89,123,34,58
COL19A1,35,64,46,123,29,113,144,39,46
COL1A1,117,67,38,96,135,42,58,125,43
COL1A2,110,30,52,64,81,34,24,141,16
COL20A1,109,7,46,94,46,49,65,129,46
COL21A1,117,68,38,33,134,62,54,35,42
COL22A1,68,28,113,118,44,21,16,91,24
COL23A1,82,103,68,32,33,32,13,101,24
COL24A1,26,13,90,87,58,66,86,119,46
COL25A1,72,45,63,30,34,1,9,111,109
COL26A1,20,36,66,83,55,136,34,50,132
COL27A1,59,96,114,26,43,28,22,137,113
COL28A1,16,93,113,,63,33,11,131,111
COL2A1,119,77,22,10,135,71,117,31,55
COL3A1,109,23,81,97,84,57,24,124,16
COL4A1,49,75,46,1,132,75,58,36,53
COL4A2,119,75,21,6,122,72,106,36,55
COL4A3,109,21,61,62,89,40,23,134,26
COL4A4,34,1,81,19,86,34,18,139,142
COL4A5,106,125,36,3,118,83,123,27,85
COL4A6,117,20,39,100,48,44,44,125,6
COL5A1,108,22,52,33,84,61,45,14,16
COL5A2,57,42,73,61,89,31,16,79,23
COL5A3,52,31,69,61,101,31,8,142,146
COL6A1,3,119,16,15,110,87,121,19,90
COL6A2,3,110,13,11,110,80,129,19,91
COL6A3,32,46,65,61,88,8,61,73,140
COL6A4P1,89,91,71,23,86,6,,116,131
COL6A5,69,28,70,29,32,4,16,103,138
COL6A6,97,89,69,40,94,38,20,95,22
COL7A1,38,31,84,105,133,44,54,14,2
COL8A1,12,58,1,70,17,117,84,37,65
COL8A2,107,123,37,9,123,71,110,31,60
COL9A1,49,66,46,96,131,41,54,125,43
COL9A2,34,45,82,67,82,34,46,139,15
COL9A3,77,46,83,110,83,35,52,88,2
COLCA2,15,85,24,29,50,68,43,71,
COLEC10,114,67,42,99,71,61,58,9,41
COLEC11,117,68,39,100,131,54,58,14,6
COLEC12,9,118,16,5,116,72,121,28,86
COLGALT1,101,82,33,4,77,65,116,6,45
COLGALT2,3,75,20,14,130,72,113,34,59
COLQ,117,66,43,101,134,41,54,125,9
COMMD1,57,24,78,135,64,141,61,58,96
COMMD10,75,4,87,89,46,136,80,114,94
COMMD2,76,36,86,135,62,140,82,109,92
COMMD3,114,6,46,93,49,47,83,129,127
COMMD3-BMI1,29,73,105,73,70,107,138,121,83
COMMD4,112,95,121,41,3,107,138,122,82
COMMD5,75,4,87,66,54,137,90,143,128
COMMD6,112,73,121,72,40,107,138,122,80
COMMD7,76,5,88,135,55,12,71,113,92
COMMD8,110,14,88,134,45,142,79,56,99
COMMD9,75,4,84,68,55,137,90,114,94
COMP,36,3,89,64,55,14,40,56,133
COMT,11,126,15,13,112,86,127,20,84
COMTD1,101,85,21,106,129,49,106,9,40
COP1,24,25,55,77,24,109,60,61,66
COPA,85,80,29,35,106,37,120,85,50
COPB1,92,91,48,102,85,40,120,97,21
COPB2,98,80,32,4,105,58,125,6,50
COPE,98,80,32,54,105,37,125,6,50
COPG1,93,82,33,137,120,60,116,85,1
COPG2,93,82,33,137,120,60,116,6,45
COPRS,50,92,103,42,3,105,140,128,75
COPS2,30,95,107,73,70,112,138,121,82
COPS3,61,94,122,73,40,108,133,121,101
COPS4,50,95,106,41,2,107,141,121,82
COPS5,4,11,7,48,10,94,99,108,35
COPS6,50,72,103,45,3,104,143,128,75
COPS7A,31,96,106,72,70,107,138,121,103
COPS7B,61,93,120,112,40,147,22,119,103
COPS8,61,93,111,112,40,147,25,119,103
COPS9,58,99,117,126,59,149,23,137,114
COPZ1,88,88,48,136,97,40,26,84,27
COPZ2,78,88,83,136,79,39,26,86,27
COQ10A,89,90,101,40,95,38,118,97,22
COQ10B,89,90,49,40,95,38,118,97,22
COQ2,85,115,30,39,106,59,139,85,49
COQ3,89,91,49,35,97,40,24,97,20
COQ4,89,90,49,38,96,20,114,100,22
COQ5,87,113,31,54,103,134,94,126,52
COQ6,85,115,30,39,106,59,139,6,50
COQ7,85,90,30,39,106,59,139,85,49
COQ8A,93,80,29,35,106,58,125,6,50
COQ8B,98,113,31,4,103,63,125,32,52
COQ9,87,113,31,55,103,134,94,126,52
CORIN,116,76,46,131,129,64,113,10,38
CORO1A,35,3,79,21,45,143,91,56,128
CORO1B,80,105,49,62,95,21,20,90,117
CORO1C,85,115,30,54,106,59,139,130,50
CORO2A,63,51,80,90,47,48,29,114,12
CORO2B,54,29,59,56,56,15,72,57,116
CORO6,53,51,79,56,52,144,93,114,129
CORO7,68,40,69,57,32,139,9,94,112
CORO7-PAM16,92,80,49,39,85,59,120,85,50
CORT,119,76,26,131,121,75,125,31,53
COTL1,89,107,49,136,95,40,20,97,22
COX1,98,126,12,13,112,85,125,20,84
COX10,63,103,81,32,41,7,2,55,146
COX11,93,80,29,35,85,37,120,85,50
COX14,87,113,31,55,103,134,94,126,52
COX15,87,114,28,55,102,135,94,127,51
COX16,93,81,33,137,77,65,117,7,45
COX17,85,80,29,54,106,58,139,6,50
COX18,106,76,35,99,127,70,108,1,56
COX19,90,91,49,40,85,38,120,85,22
COX2,87,113,31,55,103,134,94,126,52
COX20,104,127,34,4,119,70,125,4,54
COX3,94,80,48,136,97,37,139,84,22
COX4I1,87,112,28,55,102,135,94,18,51
COX4I1P1,35,46,,18,54,52,40,135,94
COX4I2,93,82,33,54,77,58,139,6,50
COX5A,87,114,28,55,102,135,94,127,51
