Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
RPS15AP21,57,4,128,29,91,7,60,,140
RPS15AP25,66,100,109,38,30,21,18,109,122
RPS15P2,59,27,63,25,56,29,9,113,115
RPS15P5,58,99,114,30,36,139,8,79,111
RPS16,5,9,4,51,8,90,100,104,34
RPS17,4,9,7,53,9,91,99,105,35
RPS17P16,75,,41,67,75,,,15,11
RPS18,5,9,4,51,9,91,100,105,34
RPS18P12,59,112,112,115,30,4,17,75,118
RPS18P5,68,97,109,119,30,21,18,75,111
RPS19,5,9,4,51,8,90,100,104,34
RPS19BP1,28,25,128,29,24,128,23,61,96
RPS19P3,60,,108,119,44,25,17,94,118
RPS2,5,9,4,51,8,90,100,104,34
RPS20,5,9,4,52,9,91,100,105,34
RPS20P14,64,92,119,18,90,2,36,116,23
RPS21,4,11,7,53,10,93,99,106,35
RPS23,5,9,4,51,9,91,100,105,34
RPS24,5,9,4,51,8,90,100,104,34
RPS25,4,9,4,51,9,91,99,105,34
RPS26,5,9,4,51,9,91,99,105,34
RPS26P11,48,65,7,49,4,101,77,106,30
RPS26P50,71,45,85,28,101,5,11,86,
RPS26P54,112,106,110,123,30,21,115,103,122
RPS27,4,11,7,53,10,93,99,106,35
RPS27A,2,11,6,48,10,92,99,106,35
RPS27L,4,11,7,53,10,93,99,106,35
RPS28,4,11,7,53,10,93,99,106,35
RPS29,4,65,7,48,4,93,77,106,30
RPS2P32,33,52,77,59,54,34,46,142,144
RPS3,5,9,4,51,8,90,100,104,34
RPS3A,5,9,4,51,8,90,100,104,34
RPS3P6,64,40,59,19,90,7,8,78,146
RPS4X,5,9,4,51,9,91,100,105,34
RPS4XP17,74,46,119,,90,139,1,78,112
RPS4XP21,72,47,59,32,33,4,9,83,19
RPS4Y1,112,108,101,38,37,148,114,131,119
RPS4Y2,48,65,7,49,4,101,77,106,30
RPS5,5,9,4,51,8,90,100,104,34
RPS6,5,9,4,51,8,90,100,104,34
RPS6KA1,75,6,43,111,133,47,83,139,127
RPS6KA2,108,66,46,106,134,132,64,129,46
RPS6KA3,82,45,69,30,101,9,16,75,140
RPS6KA4,52,49,89,92,53,142,50,56,134
RPS6KA5,57,5,91,89,50,145,31,58,130
RPS6KA6,53,37,126,22,53,142,14,59,93
RPS6KB1,57,24,63,127,91,130,35,137,93
RPS6KB2,4,65,7,48,4,101,77,106,30
RPS6KC1,101,85,27,96,73,44,102,9,42
RPS6KL1,53,35,119,58,53,16,39,59,93
RPS7,5,9,4,51,9,91,100,105,34
RPS7P4,112,106,110,123,38,23,18,92,122
RPS8,5,9,4,51,8,90,100,104,34
RPS9,5,9,4,51,8,90,100,104,34
RPSA,5,9,4,51,9,90,100,104,34
RPSAP12,112,106,110,123,38,21,115,92,122
RPSAP14,33,40,70,60,90,5,7,78,115
RPSAP15,61,94,111,115,42,25,25,93,126
RPSAP18,61,28,108,119,30,24,133,103,112
RPSAP19,73,40,61,37,35,4,25,74,112
RPSAP26,73,45,64,18,90,30,1,,25
RPSAP29,58,6,109,37,44,24,17,75,117
RPSAP52,85,75,40,,82,44,52,138,14
RPSAP55,66,106,110,123,29,21,115,103,118
RPSAP58,2,11,6,52,10,94,99,106,35
RPSAP8,67,102,120,119,30,24,17,103,118
RPSAP9,50,89,108,123,28,24,17,94,126
RPTN,33,46,63,18,54,52,4,135,140
RPTOR,94,88,47,103,76,16,48,83,12
RPUSD1,21,39,121,130,91,29,7,137,114
RPUSD2,82,42,61,29,33,1,13,103,24
RPUSD3,87,114,28,55,102,135,94,127,51
RPUSD4,87,112,28,53,102,133,95,18,33
RRAD,32,49,78,85,53,16,93,116,130
RRAGA,91,22,25,132,74,45,57,5,2
RRAGB,104,87,37,4,127,67,108,3,37
RRAGC,99,87,37,133,129,41,111,3,38
RRAGD,91,23,26,101,71,56,57,87,4
RRAS,63,46,78,83,82,17,38,143,133
RRAS2,91,68,44,101,73,49,56,17,9
RRBP1,92,80,29,35,106,38,139,85,50
RREB1,39,60,95,72,16,110,67,46,78
RRH,99,127,42,33,78,134,59,27,52
RRM1,80,105,49,38,95,20,20,90,117
RRM2,61,29,116,126,41,147,23,118,105
RRM2B,78,47,41,67,79,34,46,82,17
RRN3,50,92,111,120,42,105,115,122,124
RRN3P2,80,54,112,123,42,25,16,91,118
RRP1,111,108,101,49,7,100,96,131,30
RRP12,5,9,4,52,9,91,99,104,34
RRP15,2,11,6,48,10,94,99,105,35
RRP1B,1,9,4,52,9,91,100,104,34
RRP36,47,64,112,35,5,100,115,106,31
RRP7A,48,65,97,49,5,92,77,106,31
RRP7BP,31,36,60,130,91,139,34,137,105
RRP8,5,9,4,52,9,90,100,104,34
RRP9,2,65,97,49,10,92,77,106,31
RRS1,5,9,4,51,8,90,100,104,34
RS1,79,39,47,126,,6,42,86,119
RSAD1,93,80,29,136,106,37,120,6,50
RSAD2,75,52,84,64,75,45,47,88,2
RSBN1,2,10,6,52,11,91,99,108,36
RSBN1L,2,11,6,48,11,94,99,108,35
RSC1A1,82,43,51,25,86,30,13,101,117
RSF1,45,63,102,43,15,106,76,42,74
RSKR,35,5,54,21,63,142,33,66,100
RSL1D1,5,9,4,52,8,90,100,104,34
RSL24D1,1,11,6,52,10,94,99,105,35
RSPH1,18,70,115,59,21,108,91,45,77
RSPH10B,57,47,85,18,91,18,3,123,136
RSPH10B2,53,28,62,22,51,14,40,135,132
RSPH14,15,13,58,81,20,120,79,72,71
RSPH3,27,4,55,21,64,138,31,136,95
RSPH4A,12,70,118,102,21,108,47,45,72
RSPH6A,27,5,90,83,45,142,80,50,92
RSPH9,74,97,70,28,31,22,17,111,108
RSPO1,63,49,65,17,88,3,2,142,143
RSPO2,27,15,54,91,22,132,88,72,70
RSPO3,114,66,85,105,48,62,56,88,9
RSPO4,27,14,55,134,23,125,92,65,100
RSPRY1,105,77,21,33,127,76,108,33,56
RSRC1,48,61,95,46,5,104,76,42,28
RSRC2,30,95,122,114,42,107,133,121,82
RSRP1,60,106,110,114,38,25,25,122,124
RSU1,81,104,69,32,96,31,13,101,25
RTBDN,109,18,40,109,48,45,56,124,8
RTCA,47,64,101,45,7,100,77,133,32
RTCB,1,10,5,48,9,94,97,105,36
RTEL1,110,18,84,92,52,47,65,129,127
RTEL1-TNFRSF6B,74,40,117,126,31,4,14,133,112
RTF1,48,63,102,43,1,104,76,42,74
RTF2,74,29,108,130,43,149,3,93,125
RTKN,15,55,24,79,20,119,146,71,61
RTKN2,72,52,81,88,99,3,2,76,144
RTL1,82,100,69,62,33,30,13,101,19
RTL10,65,46,64,16,92,16,40,116,136
RTL4,70,103,65,119,41,31,10,112,23
RTL5,70,40,61,24,32,2,9,76,138
RTL6,63,34,66,91,64,136,31,60,130
RTL8A,32,41,72,19,50,16,12,116,137
RTL8B,53,38,59,19,56,13,2,114,131
RTL8C,106,122,20,9,123,77,110,27,60
RTL9,59,28,60,127,41,139,34,115,114
RTN1,104,125,18,8,115,63,126,4,57
RTN2,102,120,17,8,116,86,121,30,85
RTN3,10,117,10,13,113,86,149,24,84
RTN4,10,109,10,12,107,86,127,25,88
RTN4IP1,85,115,31,55,104,135,94,127,52
RTN4R,120,79,25,133,135,75,111,35,40
RTN4RL1,36,14,67,60,64,142,30,51,99
RTN4RL2,115,85,23,99,73,65,117,9,38
RTP1,47,125,48,105,,89,59,125,40
RTP2,6,111,8,11,108,79,148,22,88
RTP3,50,92,112,120,39,148,142,133,123
RTP4,101,84,43,98,78,65,117,11,45
RTP5,18,70,58,134,17,117,73,67,67
RTRAF,48,65,97,44,4,101,78,106,31
RTTN,83,45,52,85,99,7,46,77,14
RUBCN,26,14,54,89,63,125,79,66,100
RUBCNL,77,49,91,83,82,17,49,140,143
RUFY1,105,74,20,131,121,74,113,12,53
RUFY2,97,32,39,87,84,50,55,89,11
RUFY3,118,68,25,106,48,46,64,15,8
RUFY4,118,8,88,83,49,47,64,124,46
RUNDC1,110,50,78,85,47,17,32,139,12
RUNDC3A,28,70,58,71,22,117,71,69,67
RUNDC3B,63,51,80,21,51,136,63,139,133
RUNX1,39,60,94,76,12,98,68,44,73
RUNX1T1,12,56,2,77,19,118,66,37,65
RUNX2,29,71,123,74,68,109,138,62,81
RUNX3,39,54,1,75,16,111,78,49,63
RUSC1,14,56,2,70,19,118,145,37,65
RUSC1-AS1,56,39,115,25,31,10,51,109,137
RUSC2,55,29,72,129,59,149,61,137,106
RUSF1,6,111,8,11,108,79,147,22,87
RUVBL1,45,61,95,47,11,98,74,43,28
RUVBL2,45,61,95,47,11,98,74,43,28
RWDD1,81,104,51,62,33,33,13,100,25
RWDD2A,64,45,65,129,93,18,43,116,136
RWDD2B,53,37,89,60,53,137,29,60,133
RWDD3,60,99,116,124,43,26,23,93,109
RWDD4,73,99,59,19,31,27,14,94,115
RXFP1,7,117,9,5,109,87,131,23,91
RXFP2,117,45,88,85,84,50,49,14,142
RXFP3,79,33,77,64,80,36,44,89,16
RXFP4,95,82,38,102,78,60,119,5,1
RXRA,42,53,99,77,26,111,66,47,63
RXRB,24,71,100,74,27,116,136,47,81
RXRG,24,71,123,135,68,109,72,62,81
RXYLT1,105,76,34,33,129,64,108,1,37
RYBP,39,60,94,76,12,110,69,45,72
RYK,3,119,16,14,111,89,122,19,91
RYR1,110,3,86,85,51,55,145,134,130
RYR2,110,1,85,85,83,50,145,135,127
RYR3,78,43,52,63,101,30,33,82,26
S100A1,36,3,89,83,45,50,27,70,135
S100A10,84,44,50,82,96,138,20,83,25
S100A11,84,47,51,64,96,1,12,83,25
S100A12,15,,13,80,2,134,2,133,139
S100A13,58,44,63,113,90,16,10,111,145
S100A14,53,35,78,64,52,17,9,59,113
S100A16,91,82,47,137,76,60,119,84,1
S100A2,13,58,1,78,17,118,143,37,65
S100A3,38,7,46,108,132,131,64,125,47
S100A4,51,5,67,127,64,128,35,63,92
S100A5,120,18,9,83,130,28,48,36,9
S100A6,56,17,67,69,61,123,93,120,92
S100A7,117,66,25,99,132,43,59,123,6
S100A7A,49,74,35,33,130,74,106,35,39
S100A7L2,63,51,79,82,51,19,2,142,143
S100A8,34,48,41,102,82,19,24,116,18
S100A9,73,100,50,63,34,28,114,92,117
S100B,23,70,124,135,24,116,136,61,66
S100P,17,57,57,69,17,115,143,47,64
S100PBP,66,25,104,72,42,130,18,42,123
S100Z,19,14,53,68,65,142,31,51,95
S1PR1,9,118,11,9,114,89,130,21,90
S1PR2,105,79,21,133,124,78,111,2,39
S1PR3,114,82,20,89,71,56,117,10,45
S1PR4,7,117,10,6,113,86,149,24,89
S1PR5,105,125,37,96,127,70,110,27,56
SAA1,60,93,121,112,34,26,25,94,126
SAA2,110,45,83,119,82,34,46,139,18
SAA4,35,21,86,55,131,36,45,124,16
SAAL1,7,109,9,6,107,87,149,23,91
SAC3D1,84,43,77,32,89,31,14,83,145
SACM1L,10,109,10,13,107,81,149,25,89
SACS,76,52,82,59,83,3,46,76,144
SAE1,66,100,113,17,29,28,16,92,109
SAFB,48,65,102,45,4,101,77,106,31
SAFB2,48,61,95,44,5,104,78,43,31
SAG,67,106,60,19,36,10,14,92,121
SAGE1,61,29,116,126,40,26,22,118,125
SALL1,39,53,98,72,12,110,67,46,77
SALL2,25,71,100,134,68,109,135,62,81
SALL3,29,73,105,112,70,107,135,121,83
SALL4,44,73,99,73,67,112,138,121,83
SAMD1,32,8,87,106,54,47,27,50,128
SAMD10,21,93,125,23,55,10,16,113,94
SAMD11,17,70,1,68,25,124,81,68,68
SAMD12,58,102,68,38,36,4,13,111,138
SAMD13,58,24,127,16,60,141,92,59,107
SAMD15,15,94,119,119,24,100,23,91,73
SAMD3,23,24,127,113,41,146,61,117,101
SAMD4A,51,17,55,58,66,129,89,63,98
SAMD4B,42,57,99,77,27,111,66,48,63
SAMD5,30,33,110,38,67,102,30,53,100
SAMD7,20,19,67,127,65,143,86,66,96
SAMD8,96,83,47,105,73,53,101,89,8
SAMD9,58,41,113,126,32,26,14,94,108
SAMD9L,74,39,59,127,57,11,34,94,114
SAMHD1,81,105,125,62,94,23,19,90,117
SAMM50,98,80,32,54,105,58,125,32,52
SAMSN1,52,50,78,90,53,136,27,114,134
SANBR,57,27,115,25,59,27,5,113,114
SAP130,40,59,92,75,14,97,70,44,72
SAP18,2,61,97,46,11,96,98,108,28
SAP25,30,95,106,112,3,107,133,121,124
SAP30,40,59,92,75,14,97,70,44,72
SAP30BP,46,72,102,43,3,106,76,128,75
SAP30L,42,54,99,73,16,113,137,48,79
SAP30L-AS1,68,63,72,18,93,139,7,78,10
SAPCD1,19,17,53,56,64,145,33,52,94
SAPCD2,16,12,54,106,21,132,64,71,71
SAR1A,11,120,17,7,112,86,127,29,85
SAR1B,98,80,32,54,105,58,125,32,52
SARAF,3,116,9,11,110,80,127,19,90
SARDH,92,80,29,136,106,37,120,85,50
SARM1,99,87,23,97,125,67,106,11,45
SARNP,111,108,101,45,7,99,143,133,32
SARS1,81,105,50,62,95,33,20,99,20
SARS2,85,115,30,39,106,59,139,130,49
SART1,2,10,96,50,11,95,98,108,29
SART3,1,10,5,52,11,94,99,108,36
SASH1,56,17,55,71,64,125,81,54,92
SASH3,60,98,113,72,43,26,21,93,102
SASS6,18,58,1,69,17,118,145,67,65
SAT1,19,24,55,67,69,129,11,63,105
SAT2,61,102,113,32,43,29,21,75,125
SATB1,41,60,94,76,14,110,69,45,72
SATB2,40,59,92,76,14,98,70,45,72
SAV1,28,70,55,69,23,116,72,62,68
SAXO1,13,58,1,69,17,117,73,37,64
SAXO2,18,25,127,126,64,144,72,63,78
SAYSD1,99,81,33,137,128,65,107,7,45
SBDS,89,107,49,35,97,33,20,99,20
SBDSP1,78,84,74,67,74,64,53,31,16
SBF1,114,74,25,95,134,46,105,125,48
SBF2,84,104,68,32,33,8,16,74,24
SBK1,74,99,63,127,32,13,4,111,113
SBK3,29,73,123,112,70,107,135,120,80
SBNO1,112,92,112,114,42,148,18,122,124
SBNO2,74,39,59,57,53,12,7,112,110
SBSN,49,74,25,137,132,42,59,125,42
SBSPON,54,71,128,113,69,146,60,64,130
SC5D,9,117,15,3,112,86,129,20,85
SCAF1,2,62,96,48,11,96,98,108,29
SCAF11,48,64,102,44,1,104,76,42,32
SCAF4,45,61,95,46,11,96,76,43,28
SCAF8,112,93,111,119,42,26,25,122,124
SCAI,42,54,100,72,16,114,137,49,81
SCAMP1,10,117,11,6,107,89,131,21,90
SCAMP2,7,109,10,13,107,81,149,25,89
SCAMP3,10,126,12,13,113,86,149,25,84
SCAMP4,8,121,17,8,117,84,124,26,85
SCAMP5,106,125,20,33,127,70,110,27,57
SCAND1,15,58,1,91,17,118,91,37,64
SCAND2P,61,99,59,16,90,18,2,116,140
SCAP,7,111,9,14,109,82,148,23,88
SCAPER,112,94,112,114,42,148,25,122,124
SCARA3,3,119,16,6,110,89,122,34,58
SCARA5,109,18,86,109,133,50,55,124,11
SCARB1,7,109,8,11,109,82,148,23,88
SCARB2,92,91,29,136,85,40,120,85,22
SCARF1,120,78,21,33,124,78,111,33,39
SCARF2,105,79,26,133,129,68,106,10,39
SCARNA1,92,43,111,37,30,22,21,93,108
SCARNA10,60,106,109,117,28,25,17,92,126
SCARNA11,61,98,116,57,36,18,2,112,
SCARNA12,69,27,74,18,,13,,,
SCARNA13,61,97,109,119,41,22,22,93,126
SCARNA16,88,105,68,34,34,40,10,96,25
SCARNA17,67,38,59,16,33,10,34,73,113
SCARNA2,74,39,60,23,6,5,36,90,119
SCARNA22,48,65,97,48,5,92,77,106,31
SCARNA23,58,92,,118,35,22,18,103,109
SCARNA27,68,,68,,33,40,9,,27
SCARNA3,88,105,68,34,33,30,10,82,27
SCARNA4,61,,77,57,32,2,2,143,141
SCARNA5,67,102,70,26,34,8,16,74,112
SCARNA6,60,98,113,128,28,24,14,73,110
SCARNA7,67,39,59,23,88,18,35,75,113
SCARNA8,51,96,119,128,40,26,136,137,
SCARNA9,68,37,115,18,93,134,35,113,143
SCCPDH,98,113,31,55,103,134,94,32,52
SCD,10,126,15,13,112,86,128,20,84
SCD5,11,120,15,7,112,84,126,29,85
SCDP1,65,94,117,58,28,13,43,116,112
SCEL,38,6,88,94,46,46,63,123,127
SCFD1,10,126,12,12,112,85,127,20,84
SCFD2,101,76,22,132,129,68,110,11,37
SCG2,69,44,63,19,93,3,2,78,137
SCG3,83,45,77,59,90,19,43,78,146
SCG5,36,31,86,88,49,55,47,135,2
SCGB1A1,108,21,46,105,133,54,54,9,9
SCGB1B2P,88,82,48,57,85,38,34,130,52
SCGB1C1,119,86,22,97,124,68,106,12,40
SCGB1C2,119,22,41,63,,39,116,125,54
SCGB1D1,3,116,9,14,110,80,129,19,90
SCGB1D2,38,7,87,94,46,47,64,125,46
SCGB1D4,107,123,36,2,123,72,113,34,53
SCGB2A1,3,119,16,7,110,89,121,34,58
SCGB2A2,6,111,8,11,109,79,147,19,87
SCGB2B2,68,36,63,19,101,24,31,79,144
SCGB3A1,91,23,33,6,79,65,117,12,2
SCGB3A2,87,95,8,11,7,81,128,34,26
SCGN,33,6,88,79,46,122,64,50,127
SCHIP1,54,27,66,124,62,144,93,53,107
SCIMP,91,1,38,86,47,49,63,138,12
SCIN,79,47,82,59,79,3,52,80,144
SCLT1,110,5,88,110,55,126,80,60,128
SCLY,81,42,74,32,96,31,13,101,24
SCMH1,29,71,105,113,68,112,137,120,81
SCML1,31,96,105,124,70,108,60,121,81
SCML2,29,73,106,115,2,147,135,121,82
SCML4,24,3,55,134,64,123,31,61,99
SCN10A,55,48,61,17,,24,18,,113
SCN1A,109,42,78,61,76,57,41,12,3
SCN1B,114,33,46,103,73,41,57,2,41
SCN2A,89,94,50,40,97,59,118,97,20
SCN2B,100,74,21,109,129,45,111,13,40
SCN3A,76,48,69,67,81,36,46,89,16
SCN3B,7,111,9,11,108,79,147,25,87
SCN4A,9,117,10,7,111,82,131,21,89
SCN4B,118,42,91,62,78,41,54,2,42
SCN5A,54,37,62,30,62,138,80,113,93
SCN8A,110,30,85,59,84,51,63,88,15
SCN9A,76,67,83,62,100,16,57,138,2
SCNM1,12,56,2,78,18,118,146,39,62
SCNN1A,9,116,16,14,111,87,122,21,90
SCNN1B,34,3,84,94,48,50,62,129,10
SCNN1D,105,86,21,96,129,75,111,2,38
SCNN1G,75,1,39,107,84,56,62,88,15
SCO1,85,113,31,55,103,134,94,126,52
SCO2,92,80,29,35,106,37,120,85,50
SCOC,20,19,57,71,24,123,89,65,70
SCOC-AS1,50,63,60,114,31,23,16,96,33
SCP2,90,89,49,40,97,40,118,97,22
SCP2D1,78,30,121,93,84,3,47,88,144
SCPEP1,115,85,23,132,126,67,106,9,38
SCRG1,113,67,25,82,133,41,56,13,44
SCRIB,114,66,46,108,134,132,84,123,47
SCRN1,75,89,39,59,52,47,63,50,10
SCRN2,69,38,63,58,91,138,35,113,131
SCRN3,36,50,72,58,50,48,3,114,140
SCRT1,32,31,78,22,52,12,32,135,129
SCRT2,68,100,68,37,33,32,19,102,19
SCT,19,7,88,90,21,46,79,51,99
SCTR,23,66,25,90,21,46,83,51,99
SCUBE2,57,58,65,94,101,70,47,71,44
SCUBE3,60,52,113,118,93,24,16,36,112
SCX,28,70,128,68,24,128,82,65,100
SCYL1,94,23,38,89,79,52,54,82,18
SCYL2,93,23,42,98,76,36,117,84,1
SCYL3,99,76,35,33,127,68,123,3,56
SDAD1,2,11,6,48,10,94,99,105,36
SDC1,110,6,40,94,133,46,50,138,10
SDC2,115,66,26,106,126,43,57,17,7
SDC3,33,7,87,109,47,46,56,70,46
SDC4,75,32,82,93,133,17,44,141,15
SDCBP,16,13,54,95,21,119,84,67,71
SDCBP2,25,25,100,119,69,112,61,121,80
SDCBP2-AS1,61,105,95,84,35,25,16,101,97
SDCCAG8,55,27,115,127,60,138,3,137,107
SDE2,112,106,110,123,42,148,18,122,124
SDF2,101,84,33,4,128,65,116,7,45
SDF2L1,6,111,8,11,108,79,147,22,87
SDF4,116,67,26,97,72,45,57,17,6
SDHA,85,115,31,55,104,135,94,127,52
SDHAF1,71,89,51,35,96,30,24,81,146
SDHAF2,88,88,50,63,97,30,26,95,27
SDHAF3,85,115,31,55,104,135,139,127,52
SDHAF4,90,91,49,40,97,37,120,85,22
SDHAP1,60,7,72,18,,7,133,143,139
SDHAP2,60,94,111,114,38,25,25,91,124
SDHB,85,115,31,55,104,135,94,127,52
SDHC,90,107,101,40,37,20,114,99,120
SDHD,91,84,41,62,76,62,119,5,1
SDIM1,51,39,116,127,60,16,2,109,115
SDK1,97,20,45,97,71,53,56,16,2
SDK2,107,123,20,9,123,73,113,34,59
SDR16C5,119,78,35,33,121,78,106,33,38
SDR39U1,92,82,29,137,120,37,120,6,50
SDR42E1,12,,5,115,95,20,142,106,112
SDR42E2,22,93,112,126,38,25,9,122,114
SDR9C7,49,75,20,3,130,73,107,36,39
SDS,36,3,89,91,55,46,49,50,92
SDSL,98,98,10,62,78,87,33,84,50
SEC11A,9,120,12,7,114,84,128,21,86
SEC11C,7,117,14,13,116,81,127,21,86
SEC13,82,99,61,23,28,149,23,91,114
SEC14L1,116,22,26,109,73,61,57,17,2
SEC14L2,17,12,105,119,41,109,36,9,12
SEC14L3,28,12,122,118,41,109,42,87,12
SEC14L4,18,16,58,71,17,124,80,69,71
SEC14L5,68,93,121,37,38,33,4,103,112
SEC16A,81,46,81,109,96,147,87,92,93
SEC16B,65,40,76,30,90,1,5,78,113
SEC22A,6,111,8,11,108,79,148,22,87
SEC22B,6,111,8,11,108,81,147,25,88
SEC22C,116,20,25,98,133,41,58,11,6
SEC23A,93,82,47,102,77,36,59,95,1
SEC23B,94,21,45,95,76,54,56,87,2
SEC23IP,104,77,20,3,127,75,112,10,39
SEC24A,104,77,37,2,127,67,113,11,39
SEC24B,99,77,20,2,119,75,112,2,55
SEC24C,88,47,83,67,96,3,46,101,18
SEC24D,79,45,82,86,99,7,42,82,144
SEC31A,93,23,45,98,78,57,57,84,2
SEC31B,66,106,110,114,29,23,18,90,122
SEC61A1,85,80,29,35,106,59,139,6,50
SEC61A2,104,127,34,33,119,63,109,4,54
SEC61B,10,126,10,12,112,85,128,20,84
SEC61G,88,82,48,136,97,37,119,95,21
SEC62,6,111,8,11,108,79,147,22,87
SEC63,10,109,10,12,107,85,147,25,89
SECISBP2,46,72,102,72,1,106,67,41,74
SECISBP2L,22,26,121,135,60,149,135,117,106
SECTM1,91,84,27,98,77,65,119,8,44
SEH1L,82,40,77,19,57,12,11,94,113
SEL1L,9,117,12,11,111,81,130,23,90
SEL1L2,117,7,75,62,100,38,50,25,41
SEL1L3,3,116,13,14,110,87,129,19,90
SELE,34,6,87,94,48,47,63,124,8
SELENBP1,117,18,46,96,131,131,56,125,43
SELENOF,105,85,23,137,124,68,117,10,38
SELENOH,22,96,128,126,43,105,23,117,123
SELENOI,94,23,52,102,76,60,59,84,4
SELENOK,11,120,17,8,115,84,126,30,85
SELENOM,109,22,39,102,75,57,56,124,4
SELENON,3,110,13,14,110,87,129,19,91
SELENOO,75,33,83,89,79,34,24,87,16
SELENOP,54,28,121,117,41,27,3,137,125
SELENOS,99,76,34,137,128,64,109,7,37
SELENOT,8,121,16,2,116,84,121,21,86
SELENOV,28,69,56,68,24,128,81,65,66
SELENOW,73,101,114,27,36,1,14,73,138
SELL,109,18,46,109,133,43,88,14,7
SELP,38,78,124,92,131,73,58,10,40
SELPLG,63,85,123,90,48,47,65,16,6
SEM1,111,108,110,45,39,148,115,133,121
SEMA3A,110,1,85,88,84,35,65,88,10
SEMA3B,3,124,19,5,130,88,113,36,53
SEMA3C,3,119,20,9,122,89,113,34,59
SEMA3D,110,49,84,30,93,51,40,138,144
SEMA3E,16,32,63,17,101,40,52,76,3
SEMA3F,108,21,45,88,133,61,54,13,2
SEMA3G,84,43,78,59,93,5,52,77,26
SEMA4A,75,22,41,103,80,60,44,89,16
SEMA4B,3,119,19,5,110,72,113,34,59
SEMA4C,9,119,16,10,110,88,122,34,58
SEMA4D,107,78,20,1,123,77,113,2,55
SEMA4F,9,118,17,6,116,89,122,28,86
SEMA4G,3,116,13,6,110,87,122,19,90
SEMA5B,74,42,68,18,35,4,10,74,112
SEMA6A,9,118,13,6,110,89,122,34,58
SEMA6B,3,116,9,11,109,87,129,19,91
SEMA6C,108,30,84,105,100,36,47,89,14
SEMA6D,75,30,41,86,74,52,53,89,16
SEMA7A,101,87,34,99,125,68,106,11,38
SEMG1,120,74,45,33,135,74,57,35,43
SEMG2,120,74,25,132,121,74,101,33,40
SENP1,97,68,39,101,84,49,103,139,46
SENP2,104,125,36,4,119,63,126,4,57
SENP3,45,61,95,46,1,96,74,43,74
SENP3-EIF4A1,72,40,59,27,32,8,16,79,138
SENP5,37,6,71,109,55,142,88,60,128
SENP6,30,95,106,112,3,107,141,121,82
SENP7,30,96,105,112,70,107,133,121,103
SENP8,59,28,108,116,31,27,5,137,125
SEPHS1,73,38,72,32,32,149,11,93,114
SEPHS2,72,41,60,30,91,13,8,109,113
SEPSECS,55,24,80,19,59,138,93,113,114
SEPTIN1,19,24,115,130,61,146,87,117,106
SEPTIN10,19,16,54,71,65,123,71,64,70
SEPTIN11,88,89,48,63,97,30,24,96,27
SEPTIN12,69,42,65,128,89,10,1,112,141
SEPTIN14,52,34,91,91,53,136,37,59,133
SEPTIN2,111,106,125,122,39,148,115,132,122
SEPTIN3,63,52,82,84,81,14,40,116,132
SEPTIN4,72,40,60,28,90,11,1,112,141
SEPTIN5,63,52,85,82,86,17,42,142,143
SEPTIN6,65,48,83,87,83,17,32,143,132
SEPTIN7,80,105,50,32,95,22,15,90,117
SEPTIN7P14,60,35,64,128,91,141,35,114,110
SEPTIN7P2,83,,69,56,99,31,12,73,26
SEPTIN8,76,51,85,83,86,16,43,116,132
SEPTIN9,88,43,50,67,96,2,46,103,146
SERAC1,91,81,42,137,77,65,116,8,1
SERBP1,4,9,7,48,10,91,100,105,35
SERBP1P5,57,96,,116,91,2,14,116,
SERF1A,101,76,27,99,125,64,108,3,38
SERF1B,104,125,36,3,127,71,110,27,57
SERF2,44,72,98,43,3,103,142,128,79
SERF2-C15ORF63,83,99,65,,32,12,86,113,115
SERGEF,35,5,54,91,63,142,30,52,94
SERHL,39,82,,123,42,29,16,75,111
SERHL2,108,31,84,93,85,50,32,139,10
SERINC1,9,117,15,8,112,89,121,21,85
SERINC2,102,125,18,3,115,84,126,29,57
SERINC3,95,82,48,136,76,60,119,84,1
SERINC5,78,27,85,82,81,19,49,89,12
SERP1,7,117,11,13,107,82,131,23,89
SERP2,7,117,11,13,113,82,127,23,89
SERPINA1,3,124,17,3,130,72,107,31,60
SERPINA10,118,68,21,97,71,65,54,89,3
SERPINA11,110,106,101,54,20,121,115,92,
SERPINA12,49,75,35,2,130,73,111,36,53
SERPINA2,68,97,120,114,44,26,18,75,126
SERPINA3,3,123,19,3,130,72,113,36,59
SERPINA4,76,48,82,103,81,51,44,77,14
SERPINA5,105,67,26,132,126,67,117,2,41
SERPINA6,120,86,27,33,135,68,101,33,41
SERPINA7,75,30,81,103,81,36,46,89,16
SERPINA9,118,68,43,100,131,56,56,14,6
SERPINB1,117,67,25,99,135,44,54,13,2
SERPINB10,33,46,82,17,52,34,6,91,139
SERPINB11,116,67,38,67,72,36,59,9,2
SERPINB12,112,106,125,35,30,23,114,91,122
SERPINB13,49,75,24,33,130,74,103,36,40
SERPINB2,49,66,25,97,132,131,55,125,43
SERPINB3,3,78,36,7,130,78,107,36,39
SERPINB4,49,75,19,8,130,73,108,36,59
SERPINB5,117,22,44,137,135,44,26,15,5
